Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
9/07/2015,TCS,EQ,2595.1,2595,2598.25,2506.65,2529.35,2522.5,2540.37,1967061,4.99707E+14,142048,1156795,0.5881
10/07/2015,TCS,EQ,2522.5,2559,2559,2455,2467,2474.35,2489.45,4131827,1.0286E+15,211247,2279427,0.5517
13/07/2015,TCS,EQ,2474.35,2475.4,2518.6,2475.4,2506.1,2509.55,2502.25,1140154,2.85295E+14,53024,672149,0.5895
14/07/2015,TCS,EQ,2509.55,2511,2515,2490,2498.85,2499.5,2499.62,851637,2.12877E+14,49611,583671,0.6854
15/07/2015,TCS,EQ,2499.5,2501,2549.95,2500,2548,2545.75,2534.53,1001830,2.53917E+14,76369,665637,0.6644
16/07/2015,TCS,EQ,2545.75,2543.7,2558.85,2526.6,2534.9,2540.2,2543.54,728304,1.85247E+14,58974,449458,0.6171
17/07/2015,TCS,EQ,2540.2,2546.8,2570.1,2543.3,2563.25,2564.4,2558.02,535263,1.36921E+14,39534,299824,0.5601
20/07/2015,TCS,EQ,2564.4,2564,2583.9,2551.9,2579.95,2579.15,2571.54,426893,1.09777E+14,38037,243186,0.5697
21/07/2015,TCS,EQ,2579.15,2576,2600.35,2555.1,2561.7,2561.4,2574.93,637250,1.64087E+14,52304,399441,0.6268
22/07/2015,TCS,EQ,2561.4,2561,2569,2521.05,2530.9,2528.05,2532.4,660314,1.67218E+14,44395,450257,0.6819
23/07/2015,TCS,EQ,2528.05,2517.5,2537.85,2483,2492.05,2488.6,2505.27,748390,1.87492E+14,34659,491798,0.6571
24/07/2015,TCS,EQ,2488.6,2497.5,2516.5,2492.1,2507.1,2505.15,2506.09,787486,1.97351E+14,38528,512154,0.6504
27/07/2015,TCS,EQ,2505.15,2488,2505,2481.15,2501.15,2497.05,2496.91,1001869,2.50158E+14,65507,798854,0.7974
28/07/2015,TCS,EQ,2497.05,2499.5,2519,2492.15,2509.7,2502.05,2509.48,945594,2.37295E+14,48484,759857,0.8036
29/07/2015,TCS,EQ,2502.05,2511,2515.05,2483.5,2515,2506.75,2501.68,1206659,3.01867E+14,85826,966402,0.8009
30/07/2015,TCS,EQ,2506.75,2516.05,2516.8,2472.8,2472.8,2480.65,2490.3,1385287,3.44978E+14,77684,1230247,0.8881
31/07/2015,TCS,EQ,2480.65,2489.9,2519,2487,2511.45,2510.75,2502.23,981888,2.45691E+14,67496,675985,0.6885
3/08/2015,TCS,EQ,2510.75,2503.4,2525,2500.9,2508,2509.6,2514.14,589662,1.48249E+14,50976,404877,0.6866
4/08/2015,TCS,EQ,2509.6,2510.4,2523,2486,2510,2508.9,2500.32,1171346,2.92874E+14,82052,973725,0.8313
5/08/2015,TCS,EQ,2508.9,2520,2550,2511,2544.55,2547.15,2539.25,494497,1.25565E+14,46758,339571,0.6867
6/08/2015,TCS,EQ,2547.15,2565,2583,2550.1,2569.3,2573.3,2566.25,1105683,2.83746E+14,67097,888664,0.8037
7/08/2015,TCS,EQ,2573.3,2573,2573,2547,2559,2552.05,2558.6,594253,1.52046E+14,51065,457333,0.7696
10/08/2015,TCS,EQ,2552.05,2572,2589,2556.6,2575,2572.1,2576.47,715591,1.8437E+14,45499,563414,0.7873
11/08/2015,TCS,EQ,2572.1,2578,2610,2542.1,2600.8,2604.2,2595.57,1100153,2.85553E+14,60746,777937,0.7071
12/08/2015,TCS,EQ,2604.2,2603.1,2691.4,2602,2670,2671.7,2658.48,1739892,4.62546E+14,116770,1317431,0.7572
